,F0,F1,F2,F3,F4,F5,F6,F7
SPY,0.22098783833832092,-0.2111707269553913,-0.13423871521951913,0.07177754759293661,-0.12006371599599117,0.00491951802137332,-0.14453273441727021,0.12040287283917525
QQQ,0.32216067289459493,-0.018657411389894796,-0.1672220927705679,0.053957136071638864,-0.05601493900660463,-0.0033104226332042897,0.030414528613647386,0.06845813675703602
AAPL,0.07268684229286669,0.07467118403344962,-0.10031463806630736,0.12573794530566962,0.024786654809011908,-0.13167181219512306,0.2005778796732519,0.012415680206047112
MSFT,0.16404973379554988,0.18742804322258522,0.06447446377192013,-0.019188662061438936,-0.054814975847566616,-0.1063808059353245,-0.1438578490153753,0.19297702455513727
GOOGL,0.14670690477208626,0.052395898900369095,-0.04268951814786572,0.07717320004127824,-0.16244333595198163,-0.20748921934117198,-0.018448439907661582,0.02025621249997042
AMZN,0.1815862416961276,0.08243426005154696,0.02104056433255683,0.10698052270544571,-0.17890501823575525,-0.2740482208266659,-0.04819706909522561,-0.020103045497392218
NVDA,0.24281113694499146,-0.004540404509914969,-0.10254824037439567,-0.03900598986201697,0.007075961793332561,0.08786455125028356,0.02587749635777051,0.11217065250434688
META,0.14516486368822956,0.07136748120025126,0.022190960135273594,0.13031374716685823,-0.19780914374328934,-0.1942740531818796,-0.007408347028999037,0.015786731675655585
TSLA,0.14981971156143153,-0.044460588952930376,-0.0616986811739422,0.11680374861107826,-0.031737512538730146,-0.0553687831788281,0.10358436041289977,-0.09930153136184479
AVGO,0.19800834061298223,-0.05276081614696809,-0.14786641456467056,-0.0626465865090846,0.15624864520008597,0.18077150287947188,0.015721278359767138,0.11997604135942994
BRK-B,-0.18588565359822543,-0.15473264380021778,0.1066785450037125,0.08354312542087282,-0.05484940588725112,-0.059952659229142585,-0.032010634452331925,0.015569830101652233
LLY,-0.06848060803415257,0.06575099859667283,-0.16058521815251905,-0.18768267068133096,-0.2242709081734774,-0.06082482882864801,-0.08706060328715053,0.13511525298293756
JPM,-0.07546988286515982,-0.31555009103765747,0.17185069250248564,0.06538533223667203,-0.13663618994198992,0.034627483860378644,-0.2047550999922668,-0.08077970728869525
WMT,-0.10116816399206584,0.08322086714964277,-0.14004725433951196,0.2549347509340384,0.16065059512074986,-0.08271564811057638,-0.1978455453261892,0.09363889100456077
V,-0.10480844946424049,0.01939080141841537,0.27622378731243385,0.14821714371398406,-0.1792136114927205,0.24865379344251606,0.3237418307959041,0.3019471945096867
UNH,-0.10033348555078264,0.027437104684125014,-0.06213110816066536,-0.10262581559353108,-0.00579117616361681,0.037776239024861935,-0.02095938259032916,0.021142217371344404
XOM,-0.1017916697860324,-0.22943029587641317,0.11981226869837933,-0.1256392872580414,0.30721361287243043,-0.33007914207994365,0.17685981128074432,0.17625986925105716
MA,-0.1002456469935862,0.030472852049031048,0.30704040775190916,0.16201483667182082,-0.17234913227661888,0.24037786201191827,0.3096677755331752,0.28067199983789537
ORCL,0.0833425789813439,-0.002938023363036813,-0.00048644292198071927,-0.13632419724035474,0.07854356455250444,0.08728852671646095,-0.37521393144847154,0.26773907176918366
PG,-0.20951493430387233,0.135254190340143,-0.17308246210566208,0.1703912823684574,0.012822862076338447,0.058618139083004686,-0.04859333378025621,-0.0048557275841209484
COST,-0.043159129230176466,0.17912590809907028,-0.13965188284494645,0.21939165763285612,0.24095238860939275,0.028571577886522887,-0.10880895543011583,0.08798341406442341
HD,-0.06837289267859614,0.016095145626443496,-0.09494184493602725,0.13835084988719876,0.028466823485002807,0.14911453297716765,-0.13414711087546377,-0.40206370482911
JNJ,-0.2317538908149313,0.04180750504801251,-0.1546558776226929,-0.09677912187453663,-0.10762476358671179,-0.07886657236108321,0.022025818022917778,-0.00624175106054692
ABBV,-0.1787187611733073,0.00875325088063958,-0.13643046773697842,-0.20456583607419931,-0.1449085164985168,-0.06284234044762786,0.07496123716194489,0.10001175155735574
BAC,-0.07027164993325663,-0.3101861712673177,0.18256886485605645,0.06255912352435186,-0.10117490471461825,-0.015281244267162562,-0.20842623266582677,-0.16138285326063118
MRK,-0.15842733351684005,0.010135986439330977,-0.172332116456731,-0.19210481224161863,-0.2427945232081221,-0.08821695217952762,0.0646855592655796,0.12561478347785482
CRM,0.09123493085997243,0.19640122653141467,0.24615887235525036,-0.17262437015044008,0.08159031068737911,-0.09766779091891684,-0.047453089633494185,-0.10736436069835706
KO,-0.23937021422350982,0.09857901918661024,-0.11110734324818668,0.17429796864949096,0.10772174197147184,-0.014981905529503063,0.005470126800496049,0.05478971285309248
ADBE,0.08318405491303363,0.274958473818091,0.18669629441414248,-0.14532393949990752,0.12789020671830756,-0.04577014282178478,0.029116353125134064,-0.09648148403811459
PEP,-0.2104463267290071,0.13817861799109185,-0.17805476713764615,0.10605216220109889,0.12375045739817567,-0.04987160770656451,-0.004615469840548847,-0.019666020469347734
AMD,0.20217397378800728,-0.0626290055649591,-0.12901535237085276,-0.03913107493970726,0.05647466470173789,0.11433300711837464,0.1438469698482262,0.00424669823050491
NFLX,0.09639196821304032,0.12283054343794593,0.08317132601475383,0.09833813904081605,-0.0732875002609431,-0.22621179053323665,0.05243399478130773,0.0017498650897076495
TMO,-0.05135691450611344,0.07329518566513954,-0.07512732814689674,-0.29364629075436716,-0.17584535761206205,0.12197920560437425,0.020784896973754772,-0.16429712127519494
CVX,-0.08906308805633124,-0.22969378467315807,0.12017768714467338,-0.15796467850909865,0.3066109735641411,-0.3445722872953915,0.14127981767210127,0.1600463880897609
CSCO,-0.008193253022972682,-0.086844087191732,-0.07195030596531489,-0.05873302653022794,0.22304203141943682,0.030553669646145216,-0.1509225690879118,0.1833190971965457
