# Lista de exclusión sectorial — fuente: exports del screener de InvestingPro (región USA), corte 2026-07-13
# Sectores: Financiero (1000 mayores por capitalización) y Utilities (sector completo, 130)
# LISTA BLANCA (se analizan normalmente por ser plataformas de pagos, no bancos): V, MA, PYPL, FISV/FI, FIS, GPN, JKHY, WEX, CPAY, TOST, XYZ (Block), FOUR (Shift4)
ticker,name,sector
# Clases duales: se añade el ticker hermano (A/B) de cada emisor de la lista, porque el screener
# puede devolver una clase u otra según la configuración (p. ej. BRK.A vs BRK.B).
AAC.U,Ares Acquisition Corp Unit,Financiero
AACB,Artius II Acquisition Inc,Financiero
AACI,Armada Acquisition Corp III,Financiero
AACO,Abony Acquisition Corp I,Financiero
AACP,Apogee Acquisition Corp,Financiero
AAMI,Acadian Asset Management Inc,Financiero
AB,AllianceBernstein Holding LP,Financiero
ABCB,Ameris Bancorp,Financiero
ABX,Abacus Global Management Inc,Financiero
ACAA,Averin Capital Acquisition Corp,Financiero
ACGC,ACP Holdings Acquisition Corp,Financiero
ACGL,Arch Capital Group Ltd,Financiero
ACGP,"""Associated Capital Group"," Inc.""",Financiero
ACIC,American Coastal Insurance Corp,Financiero
ACNB,ACNB Corporation,Financiero
ACT,Enact Holdings Inc,Financiero
ACTG,Acacia Research Corporation,Financiero
ADAC,American Drive Acquisition Co,Financiero
ADKT,The Adirondack Trust Company,Financiero
AEAQ,Activate Energy Acquisition Corp,Financiero
AEE,Ameren Corp,Utilities
AEP,American Electric Power Company Inc,Utilities
AEPT,American Energy Partners Inc,Utilities
AES,The AES Corporation,Utilities
AESP,Aeon Acquisition I Corp,Financiero
AEXA,American Exceptionalism Acquisition Corp A,Financiero
AFBI,Affinity Bancshares Inc,Financiero
AFG,American Financial Group Inc,Financiero
AFIP.A,AMFI Corp.,Financiero
AFIP.B,AMFI Corp. Class B,Financiero
AFL,Aflac Inc,Financiero
AFRM,Affirm Holdings Inc,Financiero
AGBK,AGI Inc,Financiero
AGM,Federal Agricultural Mortgage,Financiero
AGO,Assured Guaranty Ltd,Financiero
AIG,American International Group Inc,Financiero
AII,American Integrity Insurance Inc,Financiero
AIIA,AI Infrastructure Acquisition Corp,Financiero
AIZ,Assurant Inc,Financiero
AJG,Arthur J Gallagher & Co,Financiero
ALCE,Clean Earth Acquisitions Corp,Utilities
ALDF,Aldel Financial II Inc,Financiero
ALF,Centurion Acquisition Corp,Financiero
ALL,Allstate Corp,Financiero
ALLY,Ally Financial Inc,Financiero
ALOV,Aldabra 4 Liquidity Opportunity,Financiero
ALPI.A,Alpine Banks of Colorado Class A,Financiero
ALPI.B,Alpine Banks of Colorado,Financiero
ALPX,Alpex Acquisition Corp,Financiero
ALRS,Alerus Financial Corp,Financiero
ALTI,Alti Global Inc,Financiero
ALTN.F,Alternus Energy Group Plc,Utilities
ALUB,Alussa Energy Acquisition Corp II,Financiero
AMAL,Amalgamated Bank,Financiero
AMAN,Amanat Acquisition Corp,Financiero
AMBK,American Bank Inc,Financiero
AMBZ,American Business Bk,Financiero
AMG,Affiliated Managers Group Inc,Financiero
AMP,Ameriprise Financial Inc,Financiero
AMSF,AMERISAFE Inc,Financiero
AMTB,Amerant Bancorp Inc Class A,Financiero
ANNA,AleAnna Inc,Utilities
ANSC,Agriculture & Natural Solutions,Financiero
ANTA,Antalpha Platform Holding Ltd,Financiero
AON,Aon PLC,Financiero
APAM,Artisan Partners Asset Management Inc,Financiero
APMC,AmperCap Acquisition Co,Financiero
APO,Apollo Global Management LLC Class A,Financiero
APTL,Alaska Power & Telephone Company,Utilities
APUR,Aperture AC,Financiero
APXT,Apex Treasury Corp,Financiero
ARBV,American Riviera Bank,Financiero
ARCI,Archimedes Tech SPAC Partners III,Financiero
ARCL,ARC Group Acquisition I Corp,Financiero
ARES,Ares Management Corp Class A,Financiero
ARMM,Current Energy and Renewables Corp.,Utilities
AROW,Arrow Financial Corporation,Financiero
ARTC,Art Technology Acquisition Corp,Financiero
ARTN.A,Artesian Resources Corporation,Utilities
ARTN.B,Artesian Resources Corporation Class B,Utilities
ARX,Accelerant Holdings Ltd,Financiero
ASB,Associated Banc-Corp,Financiero
ASIC,Ategrity Specialty Holdings LLC,Financiero
ASRE,"""Astra Energy"," Inc.""",Utilities
ATEK,Athena Technology Acquisition Corp II,Financiero
ATII,Archimedes Tech SPAC Partners II Co,Financiero
ATLC,Atlanticus Holdings Corporation,Financiero
ATLO,Ames National Corporation,Financiero
ATO,Atmos Energy Corporation,Utilities
AUB,Atlantic Union Bankshares Corp,Financiero
AUBN,Auburn National Bancorporation Inc,Financiero
AVA,Avista Corporation,Utilities
AVBC,Avidia Bancorp Inc,Financiero
AVBH,Avidbank Holdings Inc,Financiero
AWK,American Water Works,Utilities
AWR,American States Water Company,Utilities
AWRS,All World Resources Corporation,Utilities
AWSL,Atlantic Wind & Solar Inc,Utilities
AX,Axos Financial Inc,Financiero
AXG,Solowin Holdings Ltd,Financiero
AXIN,Axiom Intelligence Acquisition,Financiero
AXP,American Express Company,Financiero
AXS,AXIS Capital Holdings Ltd,Financiero
AZRE.F,Azure Power Global Ltd,Utilities
BAC,Bank of America Corp,Financiero
BACC,Blue Acquisition Corp,Financiero
BANC,Banc of California Inc,Financiero
BANF,BancFirst Corporation,Financiero
BANR,Banner Corporation,Financiero
BAP,Credicorp Ltd,Financiero
BBCQ,Bleichroeder Acquisition Corp II,Financiero
BBNA,"""Bonvenu Bancorp"," Inc.""",Financiero
BBT,Beacon Financial Corp,Financiero
BCAL,Southern California Bancorp,Financiero
BCAR,D Boral ARC Acquisition I Corp,Financiero
BCBP,BCB Bancorp Inc,Financiero
BCCQ.U,Bleichroeder Acquisition Corp III Unit,Financiero
BCML,BayCom Corp,Financiero
BCON,"""Beacon Holding Company"," Inc.""",Financiero
BCRD,Blueone Card Inc,Financiero
BCSS,Bain Capital GSS Investment Corp,Financiero
BCTF,Bancorp 34 Inc,Financiero
BDCI,BTC Development Corp,Financiero
BEAG,Bold Eagle Acquisition Corp,Financiero
BEBE,TGE Value Creative Solutions Corp,Financiero
BEN,Franklin Resources Inc,Financiero
BEOB,BEO Bancorp,Financiero
BEPC,Brookfield Renewable Corp,Utilities
BETR,Better Home & Finance Holding Co,Financiero
BFC,Bank First National Corp,Financiero
BFCC,BankFirst Capital Corporation,Financiero
BFH,Bread Financial Holdings Inc,Financiero
BFST,Business First Bancshares Inc,Financiero
BGC,Bgc Group Inc,Financiero
BHAV,BHAV Acquisition Corp,Financiero
BHB,Bar Harbor Bankshares Inc,Financiero
BHF,Brighthouse Financial Inc,Financiero
BHRB,Burke Herbert Financial Services Corp,Financiero
BIDW.U,Tribeca Strategic Acquisition Corp,Financiero
BIII,Black Spade Acquisition III Co,Financiero
BIP,Brookfield Infrastructure Partners LP,Utilities
BIPC,Brookfield Infrastructure Corp A,Utilities
BIXI,Bitcoin Infrastructure Acquisition,Financiero
BKGM,BankGuam Holding Company,Financiero
BKH,Black Hills Corporation,Utilities
BKKT,Bakkt Inc,Financiero
BKSC,Bank of South Carolina Corp,Financiero
BKU,BankUnited Inc,Financiero
BKUT,Bank of Utica,Financiero
BLHK,Blueharbor Bank,Financiero
BLK,BlackRock Inc,Financiero
BLRK,Bluerock Acquisition Corp,Financiero
BLSH,Bullish Inc,Financiero
BLSP,Blue Sphere Corp,Utilities
BLUW,Blue Water Acquisition Corp III,Financiero
BLX,Bladex Inc,Financiero
BLZR,Trailblazer Acquisition Corp,Financiero
BMBN,"""Benchmark Bankshares"," Inc.""",Financiero
BMHL,Bluemount Holdings Ltd,Financiero
